NSN,Item Name
"""5140-01-671-7385""","""ROLL,TOOLS AND ACCESSORIES"""
"""5120-01-671-6710""","""SPACER,SLEEVE"""
"""5120-01-335-9858""","""PAPER,PHOTOGRAPHIC"""
"""5110-01-672-4308""","""SHEARS,METAL CUTTING,HAND"""
"""5110-01-660-1738""","""BLADE,HAND HACKSAW"""
"""5133-01-671-3883""","""DRILL,MASONRY,ROTARY DRIVEN"""
"""5130-01-671-6112""","""EXTENSION,BIT"""
"""5120-01-590-1199""","""NAIL SET ASSORTMENT"""
"""5140-01-578-8181""","""SOFTWARE KIT"""
"""5120-01-671-3649""","""WRENCH,BOX AND OPEN END,COMBINAT"""
"""5130-01-671-7098""","""COUNTERSINK"""
"""5110-01-644-2099""","""CHISEL,COLD,HAND"""
"""5130-01-672-1053""","""WHEEL,ABRASIVE"""
"""5110-01-652-0391""","""CHISEL,COLD,HAND"""
"""5133-01-671-6728""","""DRILL,MASONRY,ROTARY DRIVEN"""
"""5130-01-654-8944""","""NAILER,ELECTRIC,POR"""
"""5120-00-596-1584""","""TAPE,FISH"""
"""5120-01-588-0037""","""GROOVER,CONCRETE"""
"""5110-01-671-7377""","""CUTTER,GLASS"""
"""5210-01-660-0163""","""TAPE,MEASURING"""
"""5120-01-372-3123""","""CLAMP,BAR"""
"""5130-01-587-8202""","""WHEEL,ABRASIVE"""
"""5133-01-671-4974""","""BIT,SPADE,WOOD BORING"""
"""5140-01-440-8588""","""TOOL BOX,PORTABLE"""
"""5133-01-671-6720""","""BIT,AUGER"""
"""6230-01-670-2389""","""FLOODLIGHT,ELECTRIC"""
"""5120-01-610-6096""","""PLIERS"""
"""5133-01-671-5573""","""DRILL,MASONRY,ROTARY DRIVEN"""
"""5130-01-671-8617""","""WHEEL,ABRASIVE"""
"""5120-01-604-3480""","""BIT,SCREWDRIVER"""
"""5120-01-661-6653""","""HOLDER,TAPE MEASURE"""
"""5120-01-653-2015""","""WRENCH,ADJUSTABLE"""
"""6140-01-644-7764""","""BATTERY,STORAGE"""
"""5120-01-670-7277""","""PLIERS"""
"""5110-01-671-7374""","""FILE,HAND"""
"""5120-00-243-2948""","""NO ITEM NAME AVAILABLE"""
"""5110-01-660-1783""","""SHAFT,SHOULDERED"""
"""5120-01-124-2647""","""BLOCK,LINE,MASONRY"""
"""5130-01-645-1527""","""WHEEL,ABRASIVE"""
"""3230-01-671-1885""","""BIT,ROUTER"""
"""5133-01-671-3000""","""DRILL,TWIST"""
"""5120-01-670-9252""","""PLIERS"""
"""5120-01-478-3253""","""PUNCH,CENTER,AUTOMATIC"""
"""5133-01-671-6117""","""BIT,AUGER"""
"""5133-01-671-4977""","""DRILL,TWIST"""
"""5110-01-671-7482""","""CHISEL,BULL POINT,HAND"""
"""5110-01-590-1172""","""CHISEL,BUTT,WOODWORKING"""
"""5120-01-587-8926""","""CLAMP,BAR"""
"""5110-01-428-6208""","""SHAFT ASSY"""
"""5120-01-588-0076""","""TROWEL"""
"""5140-01-671-7391""","""ROLL,TOOLS AND ACCESSORIES"""
"""5120-01-563-3612""","""BIT,SCREWDRIVER"""
"""9905-01-672-0110""","""DISPENSER,FLAGGING TAPE"""
"""6130-01-599-9257""","""MODULAR FORWARD HANGER KIT"""
"""5133-01-671-6120""","""BIT,AUGER"""
